Date,Real Demand,Predicted Demand
2016-01-09,3.174533,3.6165993
2016-01-10,0.307224,2.9710655
2016-01-11,2.277051,2.5414126
2016-01-12,6.371741,2.160324
2016-01-13,3.764492,3.607386
2016-01-14,4.001344,3.2265525
2016-01-15,3.204563,3.3340583
2016-01-16,1.664586,2.9836347
2016-01-17,0.124609,1.731942
2016-01-18,5.325449,2.5414126
2016-01-19,2.711011,3.634126
2016-01-20,3.199452,2.7328305
2016-01-21,2.895489,2.9814923
2016-01-22,7.222116,2.8565636
2016-01-23,3.633808,3.5801895
2016-01-24,0.0455,3.1684258
2016-01-25,4.010323,2.5414126
2016-01-26,3.014201,3.338188
2016-01-27,2.434945,2.9047663
2016-01-28,2.833802,2.369418
2016-01-29,3.305801,2.8318157
2016-01-30,1.8505455,3.0263577
2016-01-31,0.39529,1.5960453
2016-02-01,5.100227,2.5414126
2016-02-02,4.0558,3.6389647
2016-02-03,5.323412,3.3591626
2016-02-04,5.071729,3.634171
2016-02-05,3.731704,3.639555
2016-02-06,3.5798006666666664,3.2118883
2016-02-07,3.4278973333333336,3.1446555
2016-02-08,3.275994,3.0785944
2016-02-09,3.077168,3.0137234
2016-02-10,3.675462,2.9306407
2016-02-11,0.350031,3.1868598
2016-02-12,3.251796,2.5414126
2016-02-13,0.0,3.0035007
2016-02-14,0.223405,2.5414126
2016-02-15,3.604933,2.5414126
2016-02-16,2.686232,3.155699
2016-02-17,2.18642,2.7003865
2016-02-18,2.125914,2.0401795
2016-02-19,4.535797,1.9599844
2016-02-20,0.1,3.586484
2016-02-21,0.0,2.5414126
2016-02-22,5.112174,2.5414126
2016-02-23,2.775419,3.6387157
2016-02-24,2.82745,2.808587
2016-02-25,1.766155,2.829279
2016-02-26,3.743929,1.6402258
2016-02-27,4.226964666666667,3.2173495
2016-02-28,4.710000333333333,3.4389915
2016-02-29,5.193036,3.6466367
2016-03-01,4.554147,3.6370082
2016-03-02,4.365375,3.5953841
2016-03-03,3.986265,3.5045512
2016-03-04,4.02437,3.3271327
2016-03-05,0.1,3.3446558
2016-03-06,0.005,2.5414126
2016-03-07,4.100344,2.5414126
2016-03-08,4.699662,3.3798027
2016-03-09,2.580655,3.6468282
2016-03-10,3.628986,2.5617154
2016-03-11,3.938226,3.1662977
2016-03-12,1.971623,3.305141
2016-03-13,0.00502,1.7557685
2016-03-14,3.625851,2.5414126
2016-03-15,8.056144,3.1649144
2016-03-16,3.216736,3.548652
2016-03-17,5.316634,2.9887433
2016-03-18,3.157581,3.634321
2016-03-19,1.7837905,2.9639912
2016-03-20,0.41,1.624243
2016-03-21,1.712121,2.5414126
2016-03-22,3.810089,1.6890897
2016-03-23,3.988966,3.247034
2016-03-24,4.445346,3.328372
2016-03-25,3.920876,3.5428338
2016-03-26,1.961088,3.297226
2016-03-27,0.0013,1.7418487
2016-03-28,3.192796,2.5414126
2016-03-29,2.697892,2.978704
2016-03-30,2.839889,2.7156582
2016-03-31,6.687889,2.8342483
2016-04-01,4.658104,3.59786
2016-04-02,2.329232,3.6446462
2016-04-03,0.00036,2.229475
2016-04-04,3.877174,2.5414126
2016-04-05,6.129956,3.2773547
2016-04-06,2.04966,3.614211
2016-04-07,4.060646,1.8589876
2016-04-08,3.976976,3.3614032
2016-04-09,2.166015,3.3228714
2016-04-10,0.355054,2.013131
2016-04-11,4.570534,2.5414126
2016-04-12,2.535707,3.603345
2016-04-13,3.148098,2.5024917
2016-04-14,3.475078,2.9600403
2016-04-15,3.96509,3.0989861
2016-04-16,0.0395,3.3174253
2016-04-17,0.0,2.5414126
2016-04-18,5.038043,2.5414126
2016-04-19,3.597511,3.6402466
2016-04-20,2.555546,3.152434
2016-04-21,4.921775,2.5286436
2016-04-22,3.288331,3.642583
2016-04-23,3.666882,3.018947
2016-04-24,4.045433,3.1830559
2016-04-25,4.423984,3.3543723
2016-04-26,3.461109,3.5325792
2016-04-27,2.602435,3.0929368
2016-04-28,4.194752,2.5903747
2016-04-29,1.600825,3.4238617
2016-04-30,0.205466,1.7976795
2016-05-01,0.00155,2.5414126
2016-05-02,2.36558,2.5414126
2016-05-03,0.776965,2.2776203
2016-05-04,0.465203,2.5414126
2016-05-05,1.151777,2.5414126
2016-05-06,7.144695,2.4018917
2016-05-07,6.7583693333333335,3.5828729
2016-05-08,6.372043666666667,3.5956423
2016-05-09,5.985718,3.6073775
2016-05-10,5.2675,3.6180935
2016-05-11,2.816855,3.6354003
2016-05-12,2.590151,2.825053
2016-05-13,4.680195,2.5742137
